6,11,4,2,18,-36,33,-7
39,-12,22,-16,12,10,-29,-40
32,42,-35,21,37,35,-20,-9
30,32,-19,-14,-10,22,-18,42
-8,22,-29,25,-29,1,5,-47
16,-18,-33,35,10,-25,6,36
30,-29,26,-21,20,-33,-35,21
-15,-20,15,29,-15,-9,-40,35
12,21,-28,-41,1,-36,13,44
28,-25,-41,-40,-33,23,0,-29
-28,-23,-33,13,-9,0,-37,22
28,12,-43,3,37,-26,42,-25
28,-25,10,39,-34,1,-49,-19
-35,3,-19,-25,31,-21,-56,-27
-27,43,28,-19,-23,-37,-16,-4
23,29,2,-34,32,22,-36,10
