30,23,-1,-9,29,-10,53,-25,-38,21
-1,25,10,-36,-42,11,-27,-14,-24,5
-38,46,-9,-5,17,-21,-5,-19,15,51
12,-51,52,20,9,-12,-23,10,-3,36
-42,1,46,-9,10,-32,28,-36,21,-42
27,-28,-8,-35,-19,-22,22,-16,35,3
27,30,24,44,-32,23,22,-44,31,-7
33,62,32,27,-15,-23,15,55,14,20
